x_width_px,x_width_um,std_area_fraction,cv_area_fraction,n_windows,cv_uncertainty,dcv_dx_per_um
1.0,0.05555555555555555,0.16322690777637106,0.35215609063161074,2048,0.005502438916118918,-0.017118733344071706
53.48717948717949,2.9715099715099713,0.1392567622227505,0.30223864454141874,155,0.01716600149340908,-0.017874147874273043
105.97435897435898,5.887464387464387,0.11352814103427263,0.2479156897807933,76,0.02010861775842678,-0.014061635368725928
158.46153846153845,8.803418803418802,0.10050089220793362,0.22023246904346444,49,0.02224683889972716,-0.008689784189303586
210.94871794871796,11.71937321937322,0.08955529439751485,0.197237660619812,36,0.023244681221606656,-0.008750483929710905
263.43589743589746,14.635327635327636,0.07674997381466545,0.1692004445303071,29,0.02221710680955398,-0.006659901174969243
315.9230769230769,17.55128205128205,0.07156960925011485,0.15839772413786882,23,0.023354470297371147,-0.005040099055456774
368.4102564102564,20.467236467236464,0.06312300283497521,0.13980704633509342,20,0.022105434967979568,-0.006889909480367256
420.8974358974359,23.38319088319088,0.05332883116228095,0.11821640018826263,17,0.020273945372927656,-0.003683787215983017
473.3846153846154,26.299145299145298,0.05301567988573709,0.11832353513532921,15,0.021602823092458298,-0.0017983108853203526
525.8717948717949,29.215099715099715,0.048234065407963315,0.10772881505364508,13,0.021127358851337093,-0.003232666895867653
578.3589743589744,32.13105413105413,0.044328252223444733,0.09947091651469933,12,0.02030441580899982,-0.0016301318745781494
630.8461538461538,35.047008547008545,0.04412722030970915,0.09822203457711669,10,0.02196311462027677,-0.0033308240501124763
683.3333333333334,37.96296296296296,0.036180448529976685,0.08004585431931403,9,0.018866988798352486,-0.0014721497826021036
735.8205128205128,40.87891737891738,0.04024451757937433,0.0896365912580668,9,0.021127547173675282,-0.0006629253327030578
788.3076923076924,43.794871794871796,0.03417796410405306,0.07617973421662697,8,0.01904493355415674,-0.0039775912388069126
840.7948717948718,46.71082621082621,0.030264156847361827,0.06643964178274558,7,0.017756741175073188,-0.0037920509972592265
893.2820512820513,49.62678062678062,0.02440470887493172,0.054064838514662227,7,0.014449435885223301,-0.0021861592524011868
945.7692307692308,52.542735042735046,0.024461178224382606,0.05369016033070794,6,0.0154990142598842,-0.0017323568510363239
998.2564102564103,55.458689458689456,0.02000944363242262,0.043961891295085764,6,0.012690704886651416,-0.0017008930098158124
1050.7435897435898,58.37464387464388,0.020033598629903185,0.04377070736463115,5,0.013841513006894063,0.0010272811979562344
1103.2307692307693,61.29059829059829,0.022752145772659833,0.049952901586300585,5,0.01579649447469479,0.0006702250982228968
1155.7179487179487,64.2065527065527,0.021842838730366246,0.047679399034324214,5,0.015077549841649725,1.156699174755492e-05
1208.2051282051282,67.12250712250712,0.02279279291805029,0.050020359227631775,4,0.017684867603622763,0.0019983690406414137
1260.6923076923076,70.03846153846153,0.026910134787667697,0.05933370509185406,4,0.020977632611686392,0.0016362671377543516
1313.1794871794873,72.95441595441595,0.026797140755731527,0.05956291999966357,4,0.021058672319516972,-0.001251082345446278
1365.6666666666667,75.87037037037037,0.023801890939649534,0.052037506912000694,3,0.02124422323682574,-0.0004402031319850237
1418.1538461538462,78.78632478632478,0.02615168806233296,0.056995695466406184,3,0.023268395237959275,-0.0008800377308399478
1470.6410256410256,81.7022792022792,0.021436323183154568,0.04690520709710219,3,0.019148970611245427,-0.003312797213843151
1523.128205128205,84.61823361823362,0.01705463074375483,0.037675764136671334,3,0.015381066300715793,-0.0033837189544568486
1575.6153846153848,87.53418803418803,0.012207405173715402,0.027171666641907972,3,0.011092786455612904,-0.004180635963559244
1628.1025641025642,90.45014245014245,0.005975010569201033,0.013294676337794485,3,0.00542752888717497,-0.0007367194608214524
1680.5897435897436,93.36609686609687,0.010352208123539625,0.022875185911704232,2,0.011437592955852116,0.001284982567888044
1733.076923076923,96.28205128205128,0.009419188464078132,0.02078857752430966,2,0.01039428876215483,-0.0017030031022170788
1785.5641025641025,99.19800569800569,0.005882667020699367,0.012943427079116358,2,0.006471713539558179,-0.0021618762189207445
1838.0512820512822,102.11396011396012,0.0037208474024881255,0.008180712509692123,2,0.004090356254846062,-0.0021474278842430667
1890.5384615384617,105.02991452991454,0.00019149307353880096,0.00041982343511190034,2,0.00020991171755595017,-0.0007725907898465594
1943.025641025641,107.94586894586894,0.0016773137511871816,0.0036750334589345083,2,0.0018375167294672542,0.0002801990728653493
1995.5128205128206,110.86182336182335,0.0009438981054893381,0.00205391888284797,2,0.001026959441423985,
2048.0,113.77777777777777,0.0,,1,,
