image_name,knee_um_exp,knee_um_hyper,chi2_red_exp/chi_poly
RC_NE2_S250311_1_VF_1000x_001.png,26.266299755035675,,2.725388204404844
RC_NE2_S250311_1_VF_1000x_002.png,29.178604666089022,,7.755963009188377
RC_NE2_S250311_1_VF_1000x_003.png,29.178604666089022,,10.282707959482723
RC_NE2_S250311_1_VF_1000x_004.png,29.178604666089022,,8.9046161524343
RC_NE2_S250311_1_VF_1000x_005.png,29.178604666089022,,9.079692200438494
RC_NE2_S250311_1_VF_1000x_006.png,29.317285852329658,,17.940143472463983
RC_NE2_S250311_1_VF_1000x_007.png,29.178604666089022,,21.241295947343918
RC_NE2_S250311_1_VF_1000x_008.png,29.178604666089022,,5.739845261639419
RC_NE2_S250311_1_VF_1000x_009.png,29.178604666089022,,5.6227072923893235
RC_NE2_S250311_1_VF_1000x_010.png,29.178604666089022,,12.227222623225227
